"value","mean","sd","lower","median","upper","mode","kld","group","effect","deltawaic","deltadic","deltaLS","clim","lag"
10.39763,0.691183149814606,0.0953746885061264,0.504229471318199,0.691072643261854,0.878551926619155,0.69084644317627,1.4838711832566e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
11.5935937501491,0.654951572418213,0.0953553318977356,0.468005335392621,0.654850172591465,0.842262800171044,0.654643177986145,1.21564221706434e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
12.83966,0.628673017024994,0.0953779518604279,0.441674250413245,0.628573846114228,0.816023972435622,0.628371596336365,1.1572457190361e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
14.08621,0.615015804767609,0.0955318734049797,0.427735302928242,0.614910158306363,0.802683395394994,0.614693999290466,1.3256948857379e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
15.3061170130969,0.61061704158783,0.0958194211125374,0.422814121759958,0.610498640222648,0.79887603623433,0.610255420207977,1.73039711644825e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
16.5578704327345,0.604022443294525,0.0964065417647362,0.415092854953191,0.603896488421159,0.793448525993653,0.603637456893921,2.03241455451936e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
17.7920696949196,0.586911201477051,0.0972798764705658,0.396249346007672,0.586790669219649,0.778038371656637,0.586543381214142,1.84296941089317e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
18.94599,0.569527447223663,0.0983214005827904,0.37680521952936,0.56941178151776,0.762686661386176,0.569175064563751,1.68875809234139e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
20.16046,0.548660218715668,0.099610447883606,0.353390567020464,0.548549611751346,0.744336658418815,0.548323929309845,1.52342865825031e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
21.5177592817653,0.517312824726105,0.101227015256882,0.318832458948399,0.517213225075335,0.716136729393079,0.517010927200317,1.17960736836265e-06,1,"precip_4",-202.694514228031,-121.891575952061,-0.000795932683270051,"precip","4"
