"provinceid","province","areaid","district","year","month","date","cases","year_useable_from","year_month","population_census","urbanpop_census","ruralpop_census","popdens_census","pop_propurban_census","incidence"
80043,"Khanh Hoa","70454","Van Ninh",2016,4,2016-08-16,21,1999,"2016_4",129105,19463,109642,233.088336086826,0.150753262848069,16.2658301382596
80043,"Khanh Hoa","70454","Van Ninh",2016,5,2016-09-16,9,1999,"2016_5",129105,19463,109642,233.088336086826,0.150753262848069,6.9710700592541
80043,"Khanh Hoa","70454","Van Ninh",2016,6,2016-10-16,21,1999,"2016_6",129105,19463,109642,233.088336086826,0.150753262848069,16.2658301382596
80043,"Khanh Hoa","70454","Van Ninh",2016,7,2016-11-16,18,1999,"2016_7",129105,19463,109642,233.088336086826,0.150753262848069,13.9421401185082
80043,"Khanh Hoa","70454","Van Ninh",2016,8,2016-12-16,17,1999,"2016_8",129105,19463,109642,233.088336086826,0.150753262848069,13.1675767785911
80043,"Khanh Hoa","70454","Van Ninh",2016,9,2017-01-16,16,1999,"2016_9",129105,19463,109642,233.088336086826,0.150753262848069,12.3930134386739
80043,"Khanh Hoa","70454","Van Ninh",2016,10,2017-02-16,11,1999,"2016_10",129105,19463,109642,233.088336086826,0.150753262848069,8.52019673908834
80043,"Khanh Hoa","70454","Van Ninh",2016,11,2017-03-16,13,1999,"2016_11",129105,19463,109642,233.088336086826,0.150753262848069,10.0693234189226
80043,"Khanh Hoa","70454","Van Ninh",2016,12,2017-04-16,16,1999,"2016_12",129105,19463,109642,233.088336086826,0.150753262848069,12.3930134386739
80043,"Khanh Hoa","70454","Van Ninh",2017,1,2017-05-16,19,1999,"2017_1",129480,19534,109946,233.765367387183,0.15086499845536,14.6740809391412
80043,"Khanh Hoa","70454","Van Ninh",2017,2,2017-06-16,19,1999,"2017_2",129480,19534,109946,233.765367387183,0.15086499845536,14.6740809391412
80043,"Khanh Hoa","70454","Van Ninh",2017,3,2017-07-16,21,1999,"2017_3",129480,19534,109946,233.765367387183,0.15086499845536,16.2187210379981
80043,"Khanh Hoa","70454","Van Ninh",2017,4,2017-08-16,19,1999,"2017_4",129480,19534,109946,233.765367387183,0.15086499845536,14.6740809391412
80043,"Khanh Hoa","70454","Van Ninh",2017,5,2017-09-16,27,1999,"2017_5",129480,19534,109946,233.765367387183,0.15086499845536,20.852641334569
80043,"Khanh Hoa","70454","Van Ninh",2017,6,2017-10-16,21,1999,"2017_6",129480,19534,109946,233.765367387183,0.15086499845536,16.2187210379981
80043,"Khanh Hoa","70454","Van Ninh",2017,7,2017-11-16,11,1999,"2017_7",129480,19534,109946,233.765367387183,0.15086499845536,8.49552054371331
80043,"Khanh Hoa","70454","Van Ninh",2017,8,2017-12-16,18,1999,"2017_8",129480,19534,109946,233.765367387183,0.15086499845536,13.9017608897127
80043,"Khanh Hoa","70454","Van Ninh",2017,9,2018-01-16,10,1999,"2017_9",129480,19534,109946,233.765367387183,0.15086499845536,7.72320049428483
80043,"Khanh Hoa","70454","Van Ninh",2017,10,2018-02-16,16,1999,"2017_10",129480,19534,109946,233.765367387183,0.15086499845536,12.3571207908557
80043,"Khanh Hoa","70454","Van Ninh",2017,11,2018-03-16,18,1999,"2017_11",129480,19534,109946,233.765367387183,0.15086499845536,13.9017608897127
80043,"Khanh Hoa","70454","Van Ninh",2017,12,2018-04-16,14,1999,"2017_12",129480,19534,109946,233.765367387183,0.15086499845536,10.8124806919988
80043,"Khanh Hoa","70454","Van Ninh",2018,1,2018-05-16,18,1999,"2018_1",129856,19605,110251,234.44420410434,0.150974926071957,13.8615081320848
80043,"Khanh Hoa","70454","Van Ninh",2018,2,2018-06-16,20,1999,"2018_2",129856,19605,110251,234.44420410434,0.150974926071957,15.4016757023164
80043,"Khanh Hoa","70454","Van Ninh",2018,3,2018-07-16,36,1999,"2018_3",129856,19605,110251,234.44420410434,0.150974926071957,27.7230162641695
80043,"Khanh Hoa","70454","Van Ninh",2018,4,2018-08-16,57,1999,"2018_4",129856,19605,110251,234.44420410434,0.150974926071957,43.8947757516018
80043,"Khanh Hoa","70454","Van Ninh",2018,5,2018-09-16,44,1999,"2018_5",129856,19605,110251,234.44420410434,0.150974926071957,33.8836865450961
80043,"Khanh Hoa","70454","Van Ninh",2018,6,2018-10-16,65,1999,"2018_6",129856,19605,110251,234.44420410434,0.150974926071957,50.0554460325283
80043,"Khanh Hoa","70454","Van Ninh",2018,7,2018-11-16,92,1999,"2018_7",129856,19605,110251,234.44420410434,0.150974926071957,70.8477082306555
80043,"Khanh Hoa","70454","Van Ninh",2018,8,2018-12-16,175,1999,"2018_8",129856,19605,110251,234.44420410434,0.150974926071957,134.764662395269
80043,"Khanh Hoa","70454","Van Ninh",2018,9,2019-01-16,146,1999,"2018_9",129856,19605,110251,234.44420410434,0.150974926071957,112.43223262691
80043,"Khanh Hoa","70454","Van Ninh",2018,10,2019-02-16,99,1999,"2018_10",129856,19605,110251,234.44420410434,0.150974926071957,76.2382947264662
80043,"Khanh Hoa","70454","Van Ninh",2018,11,2019-03-16,95,1999,"2018_11",129856,19605,110251,234.44420410434,0.150974926071957,73.157959586003
80043,"Khanh Hoa","70454","Van Ninh",2018,12,2019-04-16,46,1999,"2018_12",129856,19605,110251,234.44420410434,0.150974926071957,35.4238541153277
80043,"Khanh Hoa","70454","Van Ninh",2019,1,2019-05-16,27,1999,"2019_1",130231,19676,110555,235.121235404697,0.151085379057214,20.7323909053912
80043,"Khanh Hoa","70454","Van Ninh",2019,2,2019-06-16,27,1999,"2019_2",130231,19676,110555,235.121235404697,0.151085379057214,20.7323909053912
80043,"Khanh Hoa","70454","Van Ninh",2019,3,2019-07-16,40,1999,"2019_3",130231,19676,110555,235.121235404697,0.151085379057214,30.7146531931721
80043,"Khanh Hoa","70454","Van Ninh",2019,4,2019-08-16,23,1999,"2019_4",130231,19676,110555,235.121235404697,0.151085379057214,17.660925586074
80043,"Khanh Hoa","70454","Van Ninh",2019,5,2019-09-16,45,1999,"2019_5",130231,19676,110555,235.121235404697,0.151085379057214,34.5539848423186
80043,"Khanh Hoa","70454","Van Ninh",2019,6,2019-10-16,119,1999,"2019_6",130231,19676,110555,235.121235404697,0.151085379057214,91.3760932496871
80043,"Khanh Hoa","70454","Van Ninh",2019,7,2019-11-16,142,1999,"2019_7",130231,19676,110555,235.121235404697,0.151085379057214,109.037018835761
80043,"Khanh Hoa","70454","Van Ninh",2019,8,2019-12-16,100,1999,"2019_8",130231,19676,110555,235.121235404697,0.151085379057214,76.7866329829303
80043,"Khanh Hoa","70454","Van Ninh",2019,9,2020-01-16,100,1999,"2019_9",130231,19676,110555,235.121235404697,0.151085379057214,76.7866329829303
80043,"Khanh Hoa","70454","Van Ninh",2019,10,2020-02-16,42,1999,"2019_10",130231,19676,110555,235.121235404697,0.151085379057214,32.2503858528307
80043,"Khanh Hoa","70454","Van Ninh",2019,11,2020-03-16,36,1999,"2019_11",130231,19676,110555,235.121235404697,0.151085379057214,27.6431878738549
80043,"Khanh Hoa","70454","Van Ninh",2019,12,2020-04-16,26,1999,"2019_12",130231,19676,110555,235.121235404697,0.151085379057214,19.9645245755619
80043,"Khanh Hoa","70454","Van Ninh",2020,1,2020-05-16,43,1999,"2020_1",130610,19748,110862,235.805488372258,0.15119822371947,32.9224408544522
80043,"Khanh Hoa","70454","Van Ninh",2020,2,2020-06-16,40,1999,"2020_2",130610,19748,110862,235.805488372258,0.15119822371947,30.6255263762346
80043,"Khanh Hoa","70454","Van Ninh",2020,3,2020-07-16,23,1999,"2020_3",130610,19748,110862,235.805488372258,0.15119822371947,17.6096776663349
80043,"Khanh Hoa","70454","Van Ninh",2020,4,2020-08-16,38,1999,"2020_4",130610,19748,110862,235.805488372258,0.15119822371947,29.0942500574229
80043,"Khanh Hoa","70454","Van Ninh",2020,5,2020-09-16,118,1999,"2020_5",130610,19748,110862,235.805488372258,0.15119822371947,90.345302809892
