"areaid","year","population_i","degree_grav1","degree_grav2","degree_rad","flux_grav1","flux_grav2","flux_rad"
"70598",2001,52037.1620120669,26,1,12,23.7719713211719,0.355964826433973,3.50882134152919
"70598",2002,53954.3386773803,28,2,12,25.1167309786389,0.371915319486,3.62290895419168
"70598",2003,55871.5153426937,32,2,12,26.4948167617756,0.388032703269164,3.73745370322669
"70598",2004,57788.6920080071,33,2,13,27.9062286705821,0.404314925011682,3.85243602628364
"70598",2005,59705.8686733205,36,2,13,29.3509667050584,0.420759935398617,3.96783814086388
"70598",2006,61990.9015049904,39,2,13,31.1201960340478,0.440643920349801,4.10203622402529
"70598",2007,64275.9343366602,42,3,13,32.9370438822131,0.460749433778347,4.2370206503382
"70598",2008,66560.9671683301,45,6,14,34.8015102495543,0.481073749279788,4.37273737299641
"70598",2009,68846,47,6,14,36.7135951360715,0.501614119318585,4.50913821954309
"70598",2010,69114,49,6,14,37.4598058651904,0.509622110047223,4.52250624909761
"70598",2011,69382,50,7,14,38.2106900862594,0.517560253048239,4.53952244828852
"70598",2012,69650,51,7,14,38.9662635936329,0.525435213169209,4.55968289843194
"70598",2013,69918,51,7,13,39.7265001436219,0.533252330606231,4.58255819389131
"70598",2014,70186,52,7,13,40.4914315331896,0.541016770833101,4.60777757872429
"70598",2015,70454,52,9,13,41.261034718717,0.548732544976074,4.63502316726768
"70598",2016,70722,52,9,13,42.0353068489379,0.556403310322086,4.66402622783826
"70598",2017,70990,54,9,13,42.8142745192464,0.564032662783642,4.69454628930312
"70598",2018,71258,54,9,13,43.5979101184273,0.571623250642297,4.72638133995331
"70598",2019,71526,55,9,13,44.3862288714968,0.579177781027422,4.75935573268751
"70598",2020,71797,55,9,13,45.2533852805494,0.587419402425185,4.79453514863769
"70599",1998,53810.8809029743,60,24,10,39.2790579756715,1.20255508845028,15.9305355061476
"70599",1999,54045.882602624,61,25,10,40.1742094642928,1.22213116423138,15.9646302797352
"70599",2000,54280.8843022738,61,25,10,41.0756537634252,1.24160906875866,16.0011211030482
"70599",2001,54515.8860019236,64,28,10,41.9833908730688,1.26099919252578,16.0397873090003
"70599",2002,54750.8877015734,65,29,10,42.8974207932236,1.28031049871209,16.0804384461054
"70599",2003,54985.8894012232,66,29,10,43.8177435238895,1.29955080756154,16.1229091179253
"70599",2004,55220.8911008729,68,29,10,44.7443590650664,1.31872700576524,16.1670548423141
"70599",2005,55455.8928005227,70,29,10,45.6772674167546,1.33784520447846,16.2127487053792
"70599",2006,55696.169600392,72,30,10,46.7644442670065,1.35976870883256,16.2542547044616
