"value","mean","sd","lower","median","upper","mode","kld","group","effect","region"
0.088,0.894563181878827,1.04871124202349,0.815136923331375,0.894431393113553,0.982434723963376,0.894171558025236,2.37790819242366e-06,1,"water_g","Southern"
0.111537455642272,1.0058167166644,1.04779130440414,0.918435175950943,1.00554387062293,1.10309450782311,1.00499373465035,7.44541235932859e-06,1,"water_g","Southern"
0.137601840850138,1.11421445595518,1.04678491317415,1.01954368558179,1.11383931110442,1.21992250461104,1.1130737936797,1.15211862622222e-05,1,"water_g","Southern"
0.162677378872791,1.19247709601211,1.0452927981451,1.09411664194528,1.19210984953119,1.3018617566347,1.19136513262391,1.02586617148946e-05,1,"water_g","Southern"
0.187899521528461,1.24037802621623,1.04356569481382,1.14136129587107,1.24013808486775,1.34930755905881,1.23966044372748,5.02895804924552e-06,1,"water_g","Southern"
0.21344955396967,1.26587420387618,1.04221958546241,1.1672985445661,1.26579980888891,1.37309720585435,1.26565326202966,1.45603825608682e-06,1,"water_g","Southern"
0.237205462124479,1.27785617511882,1.04153907275786,1.1795858563968,1.27787875997072,1.38405400296475,1.27792377437679,6.36973972778824e-07,1,"water_g","Southern"
0.261601625355546,1.27918812004371,1.04117117071255,1.18148569951464,1.27926386512242,1.38439528358643,1.27941544729708,6.70337354264565e-07,1,"water_g","Southern"
0.286857995159658,1.26883292170669,1.04102073205072,1.17214196350816,1.26894818813816,1.37269307733452,1.26917938459114,9.83620209221465e-07,1,"water_g","Southern"
0.309999171796556,1.25287086674536,1.04105526326529,1.15729259090507,1.25299364341446,1.35549365438337,1.2532410389194,1.20142172738337e-06,1,"water_g","Southern"
0.337599119574991,1.2243833278527,1.04121741706073,1.13053975470946,1.2245361572198,1.32499037405107,1.22484250615841,1.58672682933796e-06,1,"water_g","Southern"
0.362753419160006,1.19429482164602,1.0412888211431,1.10254747041195,1.19446635394283,1.29254091443644,1.19480826855503,1.83945964264784e-06,1,"water_g","Southern"
0.388981631293542,1.16491732388156,1.04136396596137,1.07537879175357,1.16504435448899,1.26104137207838,1.16529780017744,1.44336155785311e-06,1,"water_g","Southern"
0.412488963825874,1.14050013423504,1.04142161518959,1.05294830791133,1.14054020672511,1.23498316520614,1.14062331902605,9.42293445135736e-07,1,"water_g","Southern"
0.438853351504258,1.11355875223055,1.04146737217169,1.02830839036388,1.11347950372003,1.20624573891984,1.11332976309332,9.37023219110616e-07,1,"water_g","Southern"
0.462023558860417,1.08665572909637,1.04152111998878,1.0035473552458,1.08651162865648,1.17740771477896,1.0862348478692,1.31925665484105e-06,1,"water_g","Southern"
0.486938153712178,1.05246667966035,1.04157083521197,0.971875526987177,1.05232928905735,1.14046410674706,1.05206486444937,1.34072279778041e-06,1,"water_g","Southern"
0.511886106431514,1.01503017707892,1.04151840401435,0.937228526551593,1.01495974291758,1.09961458971034,1.01482528913967,9.67089276204152e-07,1,"water_g","Southern"
0.538871481067904,0.976998374854081,1.04151695291092,0.901941399995882,0.976994359079092,1.0582309004419,0.976989379617746,8.06035361314089e-07,1,"water_g","Southern"
0.560013327529558,0.95145392352939,1.04168771587984,0.878000767641176,0.951477437675993,1.0308190918594,0.951526636992397,8.67994910962416e-07,1,"water_g","Southern"
0.586494777959674,0.925603462224713,1.04196200486174,0.853690162943612,0.925630620985545,1.0033226888364,0.925688235219563,9.54402188315534e-07,1,"water_g","Southern"
0.614393687295682,0.904910606067385,1.04187927160912,0.834757062630875,0.904930301911372,0.98075747090032,0.904975062928807,9.74555307756315e-07,1,"water_g","Southern"
0.634993291567639,0.891962129473824,1.04177979468777,0.822901737333715,0.89200669857836,0.966469817313558,0.892100788148539,1.18360068989564e-06,1,"water_g","Southern"
0.661823352059609,0.877908750203952,1.04174807631207,0.809780277507889,0.878030494349137,0.950962654490645,0.878276375087004,2.24446791971273e-06,1,"water_g","Southern"
0.688402814738997,0.871422057136539,1.04177130712371,0.803572779246259,0.871616684428891,0.943763718195317,0.872008081418954,3.94112620192492e-06,1,"water_g","Southern"
0.712097590963672,0.873988575389277,1.04185969450202,0.805709074286761,0.874222553240445,0.946586731901021,0.874693818834222,5.07005819321349e-06,1,"water_g","Southern"
0.736845452887956,0.886650685754214,1.04200706745763,0.817165223251584,0.886884627009407,0.960574387720139,0.887354993225774,4.67124677528292e-06,1,"water_g","Southern"
0.761248536024421,0.907855148373829,1.04211788260787,0.836649253226236,0.908050311174616,0.983874600063421,0.908440670763093,3.07055944584478e-06,1,"water_g","Southern"
0.787016054695652,0.93897747932494,1.04228279950988,0.865322890982056,0.939081362981973,1.01819081212057,0.939288674752262,1.02184201232789e-06,1,"water_g","Southern"
0.813,0.97578942874645,1.042710135531,0.898900287089945,0.975759763636388,1.05934009554654,0.975703862270386,7.46493827549527e-07,1,"water_g","Southern"
0.837658085420741,1.00780184727,1.04336290309006,0.927579137739421,1.00765341046507,1.09575946390824,1.00736171156008,3.04925298138332e-06,1,"water_g","Southern"
0.864002074297567,1.03083538190661,1.04393897750979,0.947956351570717,1.03061292453563,1.12221124676685,1.0301693158037,6.46706762347373e-06,1,"water_g","Southern"
0.888925426718342,1.03498394637229,1.04418643902784,0.951316639091481,1.03476805933022,1.12721185711475,1.03433525348761,7.62464764421689e-06,1,"water_g","Southern"
0.913453424673479,1.0193162363926,1.04444902456815,0.936277701076487,1.01916908506288,1.11051019316408,1.01887653199329,5.26717473742757e-06,1,"water_g","Southern"
0.9383907979079,0.981958769769488,1.04587297324249,0.89928409398587,0.981917359348722,1.07239138898236,0.981838311048331,8.80055852666057e-07,1,"water_g","Southern"
0.960648498945126,0.941261723123216,1.05019673456007,0.854910348011683,0.941277501231844,1.03614578699599,0.941312915517009,2.01631836978361e-07,1,"water_g","Southern"
0.9973,0.868967085641989,1.06771614746775,0.763741195426144,0.86908814247221,0.987822919826139,0.869338337077452,3.65186814317817e-06,1,"water_g","Southern"
14.9782225,0.0525382667820271,1.58806388612826,0.0207163727701198,0.0528881680196925,0.128278564622208,0.053564516339529,6.86606477813035e-06,1,"tmean_1m_g","Southern"
15.56979,0.0705095173922704,1.42922692548894,0.0344496285403878,0.0708259294682348,0.140658771674201,0.0714412890214144,6.08667583422374e-06,1,"tmean_1m_g","Southern"
16.196775,0.0962211188445735,1.29483804876445,0.0574651944150398,0.0964556044364247,0.158864008480901,0.096915486944448,4.68878560446167e-06,1,"tmean_1m_g","Southern"
